,MovieCode,MovieName,CompanyName,BestScreenNum,AverageShare,TotalScreenNum,TotalAudienceNum
95,20177962,당신의 부탁,CGV아트하우스  CGV ARTHOUSE,47,0.0111,47,22606
96,20182990,아기곰 보보 구출 대작전,와이드 릴리즈(주)  Wide Release,207,0.041666666666666664,541,14536
97,20189783,챔피언,워너브러더스 코리아(주)  Warner Bros. Korea,874,0.12816521739130438,12180,1124639
98,20182984,얼리맨,(주)이수C&E  ,597,0.06877272727272728,3355,117502
99,20176069,원더스트럭,CGV아트하우스  CGV ARTHOUSE,111,0.02294,502,19113
100,20182385,매직빈,(주)영화사 빅  Big Film,534,0.07488,1776,47938
101,20182989,커다랗고 커다랗고 커다란 배,예지림엔터테인먼트  ,350,0.050533333333333326,2032,89577
102,20183307,샷 콜러,(주)스톰픽쳐스코리아  STORM PICTURES KOREA,59,0.014,59,2015
103,20176067,"부르고뉴, 와인에서 찾은 인생",(주)티캐스트  TCast,55,0.01114285714285714,638,43795
104,20183084,피터 래빗,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점  Sony Pictures Releasing International,599,0.06521666666666666,7536,381565
105,20183083,중2병이라도 사랑이 하고 싶어! 테이크 온 미,와이드 릴리즈(주)  Wide Release,113,0.027575,435,14315
106,20137352,루비 스팍스,(주)팝엔터테인먼트  Pop Entertainment,149,0.0357,970,23967
107,20159102,씨 오브 트리스,(주)영화사오원  ,98,0.02515,180,5449
108,20176848,데드풀 2,이십세기폭스코리아(주)  20th Century Fox Korea,1576,0.1526028571428571,24720,3778456
109,20181823,보리 vs 매켄로,"(주)엣나인필름  Atnine Film Co., Ltd.",115,0.031,115,3062
110,20173202,버닝,CGV아트하우스  CGV ARTHOUSE,739,0.080904,9478,523718
111,20183384,서산개척단,(주)인디플러그  Indieplug Inc,2,0.0006,2,810
112,20183381,5.18 힌츠페터 스토리,(주)드림팩트엔터테인먼트  Dreamfact entertainment,119,0.014249999999999999,126,7100
113,20179383,독전,(주)넥스트엔터테인먼트월드(NEW)  Next Entertainment World,1532,0.16008260869565216,33267,5061072
114,20182046,"안녕, 나의 소녀",오드  AUD,155,0.026257142857142857,1735,95133
115,20183321,마징가 Z: 인피니티,(주)이수C&E  ,332,0.05641999999999999,1364,19397
116,20183741,다이노 헌터: 티렉스VS파키리노 대격돌,(주)박수엔터테인먼트  Boxoo Entertainment  ,168,0.03035,602,16214
117,20183801,트루스 오어 데어,유니버설픽쳐스인터내셔널 코리아(유)  Universal Pictures International Korea,530,0.08444374999999998,6394,306837
118,20181603,무문관,영화사 마농(주)  ,12,0.0028,12,18765
